Amostra,Codigo_Digital,Tensao_V
0,0x7FFF,-0.0003
1,0x7FFF,-0.0003
2,0x8000,0.0000
3,0x8000,0.0000
4,0x7FFF,-0.0003
5,0x7FFE,-0.0006
6,0x8000,0.0000
7,0x7FFF,-0.0003
8,0x7FFE,-0.0006
9,0x8000,0.0000
10,0x7FFF,-0.0003
11,0x7FFF,-0.0003
12,0x7FFF,-0.0003
13,0x7FFF,-0.0003
14,0x7FFF,-0.0003
15,0x7FFF,-0.0003
16,0x7FFF,-0.0003
17,0x8000,0.0000
18,0x7FFF,-0.0003
19,0x8000,0.0000
20,0x8000,0.0000
21,0x7FFF,-0.0003
22,0x7FFF,-0.0003
23,0x8000,0.0000
24,0x7FFE,-0.0006
25,0x7FFF,-0.0003
26,0x7FFF,-0.0003
27,0x7FFF,-0.0003
28,0x7FFF,-0.0003
29,0x7FFF,-0.0003
30,0x7FFF,-0.0003
31,0x7FFE,-0.0006
32,0x7FFF,-0.0003
33,0x7FFF,-0.0003
34,0x7FFF,-0.0003
35,0x8000,0.0000
36,0x7FFF,-0.0003
37,0x7FFE,-0.0006
38,0x7FFF,-0.0003
39,0x7FFF,-0.0003
40,0x7FFF,-0.0003
41,0x7FFF,-0.0003
42,0x7FFF,-0.0003
43,0x7FFF,-0.0003
44,0x7FFF,-0.0003
45,0x8000,0.0000
46,0x8000,0.0000
47,0x8000,0.0000
48,0x7FFF,-0.0003
49,0x8000,0.0000
50,0x7FFF,-0.0003
51,0x7FFF,-0.0003
52,0x7FFF,-0.0003
53,0x7FFF,-0.0003
54,0x7FFF,-0.0003
55,0x7FFF,-0.0003
56,0x7FFF,-0.0003
57,0x8000,0.0000
58,0x8000,0.0000
59,0x7FFE,-0.0006
60,0x7FFE,-0.0006
61,0x7FFF,-0.0003
62,0x7FFF,-0.0003
63,0x7FFF,-0.0003
64,0x7FFF,-0.0003
65,0x7FFE,-0.0006
66,0x7FFE,-0.0006
67,0x8000,0.0000
68,0x7FFF,-0.0003
69,0x7FFF,-0.0003
70,0x7FFE,-0.0006
71,0x7FFF,-0.0003
72,0x7FFF,-0.0003
73,0x7FFF,-0.0003
74,0x7FFF,-0.0003
75,0x7FFE,-0.0006
76,0x7FFF,-0.0003
77,0x8000,0.0000
78,0x8000,0.0000
79,0x7FFF,-0.0003
80,0x8000,0.0000
81,0x7FFE,-0.0006
82,0x7FFF,-0.0003
83,0x7FFF,-0.0003
84,0x7FFE,-0.0006
85,0x7FFF,-0.0003
86,0x7FFF,-0.0003
87,0x7FFF,-0.0003
88,0x8000,0.0000
89,0x7FFF,-0.0003
90,0x8000,0.0000
91,0x7FFF,-0.0003
92,0x7FFF,-0.0003
93,0x7FFF,-0.0003
94,0x7FFE,-0.0006
95,0x7FFF,-0.0003
96,0x7FFF,-0.0003
97,0x7FFF,-0.0003
98,0x7FFE,-0.0006
99,0x7FFF,-0.0003
100,0x7FFF,-0.0003
101,0x7FFF,-0.0003
102,0x8000,0.0000
103,0x7FFF,-0.0003
104,0x7FFF,-0.0003
105,0x7FFF,-0.0003
106,0x7FFE,-0.0006
107,0x7FFE,-0.0006
108,0x7FFE,-0.0006
109,0x7FFE,-0.0006
110,0x7FFE,-0.0006
111,0x7FFF,-0.0003
112,0x7FFE,-0.0006
113,0x7FFF,-0.0003
114,0x7FFF,-0.0003
115,0x7FFF,-0.0003
116,0x7FFF,-0.0003
117,0x7FFE,-0.0006
118,0x7FFF,-0.0003
119,0x8000,0.0000
120,0x7FFF,-0.0003
121,0x8000,0.0000
122,0x7FFF,-0.0003
123,0x7FFF,-0.0003
124,0x7FFF,-0.0003
125,0x7FFE,-0.0006
126,0x7FFF,-0.0003
127,0x8000,0.0000
128,0x7FFF,-0.0003
129,0x7FFF,-0.0003
130,0x7FFF,-0.0003
131,0x8000,0.0000
132,0x8000,0.0000
133,0x7FFE,-0.0006
134,0x7FFF,-0.0003
135,0x7FFF,-0.0003
136,0x7FFF,-0.0003
137,0x7FFF,-0.0003
138,0x8000,0.0000
139,0x8000,0.0000
140,0x7FFF,-0.0003
141,0x7FFE,-0.0006
142,0x7FFF,-0.0003
143,0x8000,0.0000
144,0x7FFF,-0.0003
145,0x7FFF,-0.0003
146,0x7FFF,-0.0003
147,0x8000,0.0000
148,0x7FFF,-0.0003
149,0x7FFF,-0.0003
150,0x7FFF,-0.0003
151,0x7FFF,-0.0003
152,0x7FFF,-0.0003
153,0x7FFF,-0.0003
154,0x8000,0.0000
155,0x7FFF,-0.0003
156,0x7FFF,-0.0003
157,0x7FFF,-0.0003
158,0x7FFF,-0.0003
159,0x7FFF,-0.0003
160,0x7FFE,-0.0006
161,0x8000,0.0000
162,0x7FFE,-0.0006
163,0x7FFF,-0.0003
164,0x7FFE,-0.0006
165,0x7FFF,-0.0003
166,0x7FFE,-0.0006
167,0x8000,0.0000
168,0x7FFF,-0.0003
169,0x7FFF,-0.0003
170,0x8000,0.0000
171,0x7FFF,-0.0003
172,0x8000,0.0000
173,0x7FFF,-0.0003
174,0x7FFF,-0.0003
175,0x7FFF,-0.0003
176,0x7FFF,-0.0003
177,0x7FFE,-0.0006
178,0x7FFE,-0.0006
179,0x8000,0.0000
180,0x7FFE,-0.0006
181,0x7FFF,-0.0003
182,0x7FFF,-0.0003
183,0x7FFF,-0.0003
184,0x8000,0.0000
185,0x7FFF,-0.0003
186,0x7FFF,-0.0003
